id,ru,en,tr
base1,WebVectors: семантические модели для русского языка,Turkish WebVectors: distributional semantic models online,Turkish WebVectors: Çevrimici anlamsal sözcük temsilleri
base2,Показать/скрыть меню,Toggle Navigation,Navigasyonu Aç/Kapat
base3,WebVectors,Turkish WebVectors,Turkish WebVectors
base4,О&nbsp;проекте,About,Hakkında
base5,Калькулятор,Semantic Calculator,Hesap Makinesi
base6,Похожие слова,Similar words,Benzer Kelimeler
base7,Модели,Models,Modeller
base8,Обучить свою модель,Train your model,Kendi modelini eğit
base9,Публикации,Publications,Makaleler
base10,Контакты,Contacts,İletişim
base11,Команда WebVectors,WebVectors Team,WebVectors Takımı
base12,Лицензия Creative Commons,Creative Commons License,Creative Commons Lisansı
base13,Визуализации,Visualizations,Görselleştirme
base14,Университет Осло, University of Oslo,Oslo Üniversitesi
base15,Национальный Исследовательский Университет Высшая Школа Экономики,National Research University Higher School of Economics,Rusya Yüksek Ekonomi Okulu Ulusal Araştırma Üniversitesi
base16,Switch language,Сменить язык,Dil değiştir
base17,Различные операции,Similarity Calculation,Benzerlik Hesaplama
base18,"Слова, выделенные <span style='color: green;'>зеленым</span>, являются высокочастотными (доля в корпусе выше 0.00001); слова, выделенные <span style='color: red;'>красным</span>, являются низкочастотными (доля в корпусе ниже 0.0000005).",,
base19,"Показаны только ассоциаты той же части речи, что и слово в запросе. Изменить этот фильтр можно на вкладке <a href=""/associates/"">Похожие слова</a>.","We show only the associates of the same part of speech as your query. All associates can be found at the <a href=""/associates/"">Similar Words</a> tab.","Sadece sorgunuzla aynı kelime türüne sahip kelimelerin eş anlamlılarını gösteriyoruz. Tüm eş anlamlı kelimeler <a href=""/associates/"">Benzer Kelimeler</a> sekmesinde bulunabilir."
base20,2D-текст,2D text,Bağlamsal Sözcük Temsilleri
calc1,Семантический калькулятор,Semantic Calculator,Anlamsal Hesap Makinesi
calc2,Алгебраические операции,Algebraic operations,Cebirsel İşlemler
calc3,"Введите в&nbsp;&laquo;<strong>положительную</strong>&raquo; и&nbsp;&laquo;<strong>отрицательную</strong>&raquo; формы не&nbsp;более 10&nbsp;слов через пробел. <i>WebVectors</i> сложит вектора положительных слов и&nbsp;вычтет из&nbsp;них отрицательные. Затем он&nbsp;выдаст слова, наиболее близкие к&nbsp;получившемуся вектору. Если вы&nbsp;оставите отрицательное поле пустым, <i>WebVectors</i> просто найдет центр лексического кластера, образованного положительными словами.","Enter not more than 10&nbsp;space-separated words into <strong>positive</strong> and <strong>negative</strong> forms. <i>WebVectors</i> will sum up&nbsp;vectors for the positive words and subtract vectors from the negative ones. Then it&nbsp;will output the word closest to&nbsp;the resulting vector. If&nbsp;you leave negative form empty, <i>WebVectors</i> will simply find the center of&nbsp;word cluster formed by&nbsp;your positive words.","<strong>Pozitif</strong> ve <strong>negatif</strong> formlara en fazla 10 boşlukla ayrılmış kelime girebilirsiniz. <i>WebVectors</i>, pozitif kelimeler için vektörleri toplar ve negatif kelimelerden vektörleri çıkarır. Daha sonra, elde edilen vektöre en yakın kelimeyi çıktı olarak verir. Negatif formu boş bırakırsanız, <i>WebVectors</i>, sadece pozitif kelimelerinizin oluşturduğu kelime kümesinin merkezini bulacaktır."
